,Accuracy,Precision,Recall,F1-Score, AUC
0,0.9950248756218906,0.9893617021276596,1.0,0.9946524064171123,0.9953703703703703
1,1.0,1.0,1.0,1.0,1.0
2,0.9900497512437811,0.9770114942528736,1.0,0.9883720930232558,0.9913793103448275
3,0.9950248756218906,0.9905660377358491,1.0,0.9952606635071091,0.9947916666666667
4,1.0,1.0,1.0,1.0,1.0
5,0.995,0.9887640449438202,1.0,0.9943502824858756,0.9955357142857143
6,0.995,0.9878048780487805,1.0,0.9938650306748467,0.9957983193277311
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,0.99,0.978494623655914,1.0,0.9891304347826088,0.9908256880733946
